subject,class,object-countability,counted-entities,pair,rating
60fd47060f9034b90c94ac08,object,uncountable,object,blanket-bedding,7
60565342bf35f1e7658b3458,object,uncountable,object,blanket-bedding,1
603eafab982298f40bfe9120,object,uncountable,object,blanket-bedding,5
5f91a37ee40e04036b0ee45b,object,uncountable,object,blanket-bedding,5
614dbfd84002a61c075c791c,object,uncountable,object,blanket-bedding,6
60a5552c08038da921d5e7d1,object,uncountable,object,blanket-bedding,7
5d41ef9d57382300015d1564,object,uncountable,object,blanket-bedding,4
5955578c868d3100010cfa1a,object,uncountable,object,container-plasticware,1
5b5e597d4e945800017dda68,object,uncountable,object,container-plasticware,1
5f0f8ca8356665165fe18328,object,uncountable,object,container-plasticware,2
5bc4784e85214800017d8c1a,object,uncountable,object,container-plasticware,6
5bfb245c26e31d0001048012,object,uncountable,object,container-plasticware,7
60ee1474e6467957994ce2ff,object,uncountable,object,container-plasticware,6
61012b949abec48d9755d6c6,object,uncountable,object,container-plasticware,2
5ced28579d75d000011572be,object,uncountable,object,container-plasticware,6
5e20b67d1bad6c3c1af25ded,object,uncountable,object,container-plasticware,1
5f3013e31c8a690aacb02c31,object,uncountable,object,container-plasticware,2
5fcead109898cb1466641f65,object,uncountable,object,container-plasticware,2
61542508e4600733844ab8af,object,uncountable,object,container-plasticware,1
5f5fc58bfcb0db07c6c64d9e,object,uncountable,object,container-plasticware,2
605c587ecafedbb7875df03c,object,uncountable,object,container-plasticware,7
5e384b1b6652df02300bbb15,object,uncountable,object,container-plasticware,6
61220eed4945bed49e30ed10,object,uncountable,object,container-plasticware,5
59d0d2f54f2d3d0001d8e04f,object,uncountable,object,container-plasticware,7
6107b36f1e447f3291ffb10c,object,uncountable,object,container-plasticware,3
5c52b7e6251e080001c0c794,object,uncountable,object,container-plasticware,7
60c10f25b2abc02cc4c6a8ff,object,uncountable,object,container-plasticware,1
5afc1c1c96a88e0001ff1c01,object,uncountable,object,container-plasticware,1
5ce7d6b62e037a0015e7333c,object,uncountable,object,container-plasticware,1
5fd09d8f70475f0260720162,object,uncountable,object,container-plasticware,3
60fd47060f9034b90c94ac08,object,uncountable,object,container-plasticware,1
60565342bf35f1e7658b3458,object,uncountable,object,container-plasticware,1
603eafab982298f40bfe9120,object,uncountable,object,container-plasticware,1
5f91a37ee40e04036b0ee45b,object,uncountable,object,container-plasticware,3
614dbfd84002a61c075c791c,object,uncountable,object,container-plasticware,3
60a5552c08038da921d5e7d1,object,uncountable,object,container-plasticware,3
5d41ef9d57382300015d1564,object,uncountable,object,container-plasticware,3
5955578c868d3100010cfa1a,object,uncountable,object,fishing.accessory-tackle,7
5b5e597d4e945800017dda68,object,uncountable,object,fishing.accessory-tackle,7
5f0f8ca8356665165fe18328,object,uncountable,object,fishing.accessory-tackle,3
5bc4784e85214800017d8c1a,object,uncountable,object,fishing.accessory-tackle,5
5bfb245c26e31d0001048012,object,uncountable,object,fishing.accessory-tackle,2
60ee1474e6467957994ce2ff,object,uncountable,object,fishing.accessory-tackle,7
61012b949abec48d9755d6c6,object,uncountable,object,fishing.accessory-tackle,4
5ced28579d75d000011572be,object,uncountable,object,fishing.accessory-tackle,5
5e20b67d1bad6c3c1af25ded,object,uncountable,object,fishing.accessory-tackle,7
5f3013e31c8a690aacb02c31,object,uncountable,object,fishing.accessory-tackle,6
5fcead109898cb1466641f65,object,uncountable,object,fishing.accessory-tackle,2
61542508e4600733844ab8af,object,uncountable,object,fishing.accessory-tackle,5
5f5fc58bfcb0db07c6c64d9e,object,uncountable,object,fishing.accessory-tackle,2
605c587ecafedbb7875df03c,object,uncountable,object,fishing.accessory-tackle,5
5e384b1b6652df02300bbb15,object,uncountable,object,fishing.accessory-tackle,2
61220eed4945bed49e30ed10,object,uncountable,object,fishing.accessory-tackle,6
59d0d2f54f2d3d0001d8e04f,object,uncountable,object,fishing.accessory-tackle,6
6107b36f1e447f3291ffb10c,object,uncountable,object,fishing.accessory-tackle,2
5c52b7e6251e080001c0c794,object,uncountable,object,fishing.accessory-tackle,7
60c10f25b2abc02cc4c6a8ff,object,uncountable,object,fishing.accessory-tackle,5
5afc1c1c96a88e0001ff1c01,object,uncountable,object,fishing.accessory-tackle,1
5ce7d6b62e037a0015e7333c,object,uncountable,object,fishing.accessory-tackle,7
5fd09d8f70475f0260720162,object,uncountable,object,fishing.accessory-tackle,5
60fd47060f9034b90c94ac08,object,uncountable,object,fishing.accessory-tackle,6
60565342bf35f1e7658b3458,object,uncountable,object,fishing.accessory-tackle,3
603eafab982298f40bfe9120,object,uncountable,object,fishing.accessory-tackle,2
5f91a37ee40e04036b0ee45b,object,uncountable,object,fishing.accessory-tackle,7
614dbfd84002a61c075c791c,object,uncountable,object,fishing.accessory-tackle,5
60a5552c08038da921d5e7d1,object,uncountable,object,fishing.accessory-tackle,7
5d41ef9d57382300015d1564,object,uncountable,object,fishing.accessory-tackle,6
5955578c868d3100010cfa1a,object,uncountable,object,dish-china,7
5b5e597d4e945800017dda68,object,uncountable,object,dish-china,1
5f0f8ca8356665165fe18328,object,uncountable,object,dish-china,4
5bc4784e85214800017d8c1a,object,uncountable,object,dish-china,7
5bfb245c26e31d0001048012,object,uncountable,object,dish-china,6
60ee1474e6467957994ce2ff,object,uncountable,object,dish-china,7
61012b949abec48d9755d6c6,object,uncountable,object,dish-china,3
5ced28579d75d000011572be,object,uncountable,object,dish-china,6
5e20b67d1bad6c3c1af25ded,object,uncountable,object,dish-china,7
5f3013e31c8a690aacb02c31,object,uncountable,object,dish-china,6
5fcead109898cb1466641f65,object,uncountable,object,dish-china,5
61542508e4600733844ab8af,object,uncountable,object,dish-china,6
5f5fc58bfcb0db07c6c64d9e,object,uncountable,object,dish-china,7
605c587ecafedbb7875df03c,object,uncountable,object,dish-china,5
5e384b1b6652df02300bbb15,object,uncountable,object,dish-china,1
61220eed4945bed49e30ed10,object,uncountable,object,dish-china,7
59d0d2f54f2d3d0001d8e04f,object,uncountable,object,dish-china,7
6107b36f1e447f3291ffb10c,object,uncountable,object,dish-china,1
5c52b7e6251e080001c0c794,object,uncountable,object,dish-china,7
60c10f25b2abc02cc4c6a8ff,object,uncountable,object,dish-china,1
5afc1c1c96a88e0001ff1c01,object,uncountable,object,dish-china,7
5ce7d6b62e037a0015e7333c,object,uncountable,object,dish-china,7
5fd09d8f70475f0260720162,object,uncountable,object,dish-china,5
60fd47060f9034b90c94ac08,object,uncountable,object,dish-china,5
60565342bf35f1e7658b3458,object,uncountable,object,dish-china,7
603eafab982298f40bfe9120,object,uncountable,object,dish-china,4
5f91a37ee40e04036b0ee45b,object,uncountable,object,dish-china,7
614dbfd84002a61c075c791c,object,uncountable,object,dish-china,6
60a5552c08038da921d5e7d1,object,uncountable,object,dish-china,7
5d41ef9d57382300015d1564,object,uncountable,object,dish-china,6
5955578c868d3100010cfa1a,object,countable,subkind,garment-apparel,7
5b5e597d4e945800017dda68,object,countable,subkind,garment-apparel,7
5f0f8ca8356665165fe18328,object,countable,subkind,garment-apparel,6
5bc4784e85214800017d8c1a,object,countable,subkind,garment-apparel,5
5bfb245c26e31d0001048012,object,countable,subkind,garment-apparel,3
60ee1474e6467957994ce2ff,object,countable,subkind,garment-apparel,7
61012b949abec48d9755d6c6,object,countable,subkind,garment-apparel,4
5ced28579d75d000011572be,object,countable,subkind,garment-apparel,6
5e20b67d1bad6c3c1af25ded,object,countable,subkind,garment-apparel,7
5f3013e31c8a690aacb02c31,object,countable,subkind,garment-apparel,5
5fcead109898cb1466641f65,object,countable,subkind,garment-apparel,3
61542508e4600733844ab8af,object,countable,subkind,garment-apparel,7
5f5fc58bfcb0db07c6c64d9e,object,countable,subkind,garment-apparel,6
605c587ecafedbb7875df03c,object,countable,subkind,garment-apparel,7
5e384b1b6652df02300bbb15,object,countable,subkind,garment-apparel,3
61220eed4945bed49e30ed10,object,countable,subkind,garment-apparel,6
59d0d2f54f2d3d0001d8e04f,object,countable,subkind,garment-apparel,7
6107b36f1e447f3291ffb10c,object,countable,subkind,garment-apparel,4
5c52b7e6251e080001c0c794,object,countable,subkind,garment-apparel,7
60c10f25b2abc02cc4c6a8ff,object,countable,subkind,garment-apparel,1
5afc1c1c96a88e0001ff1c01,object,countable,subkind,garment-apparel,1
5ce7d6b62e037a0015e7333c,object,countable,subkind,garment-apparel,1
5fd09d8f70475f0260720162,object,countable,subkind,garment-apparel,7
60fd47060f9034b90c94ac08,object,countable,subkind,garment-apparel,7
60565342bf35f1e7658b3458,object,countable,subkind,garment-apparel,5
603eafab982298f40bfe9120,object,countable,subkind,garment-apparel,4
5f91a37ee40e04036b0ee45b,object,countable,subkind,garment-apparel,7
614dbfd84002a61c075c791c,object,countable,subkind,garment-apparel,2
60a5552c08038da921d5e7d1,object,countable,subkind,garment-apparel,5
5d41ef9d57382300015d1564,object,countable,subkind,garment-apparel,5
5955578c868d3100010cfa1a,object,countable,subkind,blanket-bedding,1
5b5e597d4e945800017dda68,object,countable,subkind,blanket-bedding,7
5f0f8ca8356665165fe18328,object,countable,subkind,blanket-bedding,5
5bc4784e85214800017d8c1a,object,countable,subkind,blanket-bedding,7
5bfb245c26e31d0001048012,object,countable,subkind,blanket-bedding,7
60ee1474e6467957994ce2ff,object,countable,subkind,blanket-bedding,4
61012b949abec48d9755d6c6,object,countable,subkind,blanket-bedding,1
5ced28579d75d000011572be,object,countable,subkind,blanket-bedding,6
5e20b67d1bad6c3c1af25ded,object,countable,subkind,blanket-bedding,7
5f3013e31c8a690aacb02c31,object,countable,subkind,blanket-bedding,5
5fcead109898cb1466641f65,object,countable,subkind,blanket-bedding,5
61542508e4600733844ab8af,object,countable,subkind,blanket-bedding,7
5f5fc58bfcb0db07c6c64d9e,object,countable,subkind,blanket-bedding,6
605c587ecafedbb7875df03c,object,countable,subkind,blanket-bedding,7
5e384b1b6652df02300bbb15,object,countable,subkind,blanket-bedding,3
61220eed4945bed49e30ed10,object,countable,subkind,blanket-bedding,5
59d0d2f54f2d3d0001d8e04f,object,countable,subkind,blanket-bedding,7
6107b36f1e447f3291ffb10c,object,countable,subkind,blanket-bedding,6
5c52b7e6251e080001c0c794,object,countable,subkind,blanket-bedding,6
60c10f25b2abc02cc4c6a8ff,object,countable,subkind,blanket-bedding,1
5afc1c1c96a88e0001ff1c01,object,countable,subkind,blanket-bedding,5
5ce7d6b62e037a0015e7333c,object,countable,subkind,blanket-bedding,6
5fd09d8f70475f0260720162,object,countable,subkind,blanket-bedding,5
60fd47060f9034b90c94ac08,object,countable,subkind,blanket-bedding,6
60565342bf35f1e7658b3458,object,countable,subkind,blanket-bedding,6
603eafab982298f40bfe9120,object,countable,subkind,blanket-bedding,7
5f91a37ee40e04036b0ee45b,object,countable,subkind,blanket-bedding,6
614dbfd84002a61c075c791c,object,countable,subkind,blanket-bedding,5
60a5552c08038da921d5e7d1,object,countable,subkind,blanket-bedding,6
5d41ef9d57382300015d1564,object,countable,subkind,blanket-bedding,7
5955578c868d3100010cfa1a,object,countable,subkind,fishing.accessory-tackle,7
5b5e597d4e945800017dda68,object,countable,subkind,fishing.accessory-tackle,7
5f0f8ca8356665165fe18328,object,countable,subkind,fishing.accessory-tackle,6
5bc4784e85214800017d8c1a,object,countable,subkind,fishing.accessory-tackle,4
5bfb245c26e31d0001048012,object,countable,subkind,fishing.accessory-tackle,6
60ee1474e6467957994ce2ff,object,countable,subkind,fishing.accessory-tackle,7
61012b949abec48d9755d6c6,object,countable,subkind,fishing.accessory-tackle,3
5ced28579d75d000011572be,object,countable,subkind,fishing.accessory-tackle,7
5e20b67d1bad6c3c1af25ded,object,countable,subkind,fishing.accessory-tackle,7
5f3013e31c8a690aacb02c31,object,countable,subkind,fishing.accessory-tackle,6
5fcead109898cb1466641f65,object,countable,subkind,fishing.accessory-tackle,7
61542508e4600733844ab8af,object,countable,subkind,fishing.accessory-tackle,7
5f5fc58bfcb0db07c6c64d9e,object,countable,subkind,fishing.accessory-tackle,6
605c587ecafedbb7875df03c,object,countable,subkind,fishing.accessory-tackle,7
5e384b1b6652df02300bbb15,object,countable,subkind,fishing.accessory-tackle,4
61220eed4945bed49e30ed10,object,countable,subkind,fishing.accessory-tackle,7
59d0d2f54f2d3d0001d8e04f,object,countable,subkind,fishing.accessory-tackle,5
6107b36f1e447f3291ffb10c,object,countable,subkind,fishing.accessory-tackle,7
5c52b7e6251e080001c0c794,object,countable,subkind,fishing.accessory-tackle,7
60c10f25b2abc02cc4c6a8ff,object,countable,subkind,fishing.accessory-tackle,1
5afc1c1c96a88e0001ff1c01,object,countable,subkind,fishing.accessory-tackle,6
5ce7d6b62e037a0015e7333c,object,countable,subkind,fishing.accessory-tackle,1
5fd09d8f70475f0260720162,object,countable,subkind,fishing.accessory-tackle,6
60fd47060f9034b90c94ac08,object,countable,subkind,fishing.accessory-tackle,5
60565342bf35f1e7658b3458,object,countable,subkind,fishing.accessory-tackle,7
603eafab982298f40bfe9120,object,countable,subkind,fishing.accessory-tackle,4
5f91a37ee40e04036b0ee45b,object,countable,subkind,fishing.accessory-tackle,7
614dbfd84002a61c075c791c,object,countable,subkind,fishing.accessory-tackle,2
60a5552c08038da921d5e7d1,object,countable,subkind,fishing.accessory-tackle,7
5d41ef9d57382300015d1564,object,countable,subkind,fishing.accessory-tackle,7
5955578c868d3100010cfa1a,object,countable,subkind,dish-china,7
5b5e597d4e945800017dda68,object,countable,subkind,dish-china,7
5f0f8ca8356665165fe18328,object,countable,subkind,dish-china,5
5bc4784e85214800017d8c1a,object,countable,subkind,dish-china,5
5bfb245c26e31d0001048012,object,countable,subkind,dish-china,6
60ee1474e6467957994ce2ff,object,countable,subkind,dish-china,3
61012b949abec48d9755d6c6,object,countable,subkind,dish-china,5
5ced28579d75d000011572be,object,countable,subkind,dish-china,5
5e20b67d1bad6c3c1af25ded,object,countable,subkind,dish-china,7
5f3013e31c8a690aacb02c31,object,countable,subkind,dish-china,2
5fcead109898cb1466641f65,object,countable,subkind,dish-china,5
61542508e4600733844ab8af,object,countable,subkind,dish-china,1
5f5fc58bfcb0db07c6c64d9e,object,countable,subkind,dish-china,3
605c587ecafedbb7875df03c,object,countable,subkind,dish-china,6
5e384b1b6652df02300bbb15,object,countable,subkind,dish-china,2
61220eed4945bed49e30ed10,object,countable,subkind,dish-china,5
